# Chua Circuit,modelLeg,0g,100s,x left untouched,y=>JointTorque,JointVelocity=>z friction 0 0 force 0.7 damping 0.5
0	-0.5	0
-0.0105623	-0.499498	0
-0.021625	-0.499008	-0.0381507
-0.0326312	-0.498568	-0.0762246
-0.043582	-0.498177	-0.114222
-0.0544783	-0.497835	-0.152143
-0.0653212	-0.497542	-0.189988
-0.0761116	-0.497299	-0.227758
-0.0868506	-0.497104	-0.265453
-0.0975391	-0.496957	-0.303072
-0.108178	-0.496859	-0.340617
-0.118769	-0.49681	-0.378089
-0.129312	-0.496808	-0.415486
-0.139808	-0.496854	-0.449613
-0.150259	-0.496945	-0.483673
-0.160665	-0.49708	-0.51767
-0.171027	-0.49726	-0.551604
-0.181346	-0.497483	-0.585475
-0.191623	-0.497751	-0.619285
-0.201859	-0.498062	-0.653036
-0.212054	-0.498416	-0.686728
-0.22221	-0.498815	-0.720363
-0.232327	-0.499256	-0.753941
-0.242406	-0.499741	-0.787464
-0.252449	-0.500269	-0.820933
-0.262455	-0.50084	-0.85435
-0.272426	-0.501454	-0.887715
-0.282362	-0.50211	-0.92103
-0.292265	-0.502809	-0.954296
-0.302135	-0.50355	-0.987513
-0.311972	-0.504334	-1.02068
-0.321779	-0.505159	-1.05381
-0.331555	-0.506027	-1.08689
-0.341301	-0.506937	-1.11993
-0.351019	-0.507888	-1.15293
-0.360708	-0.508882	-1.18589
-0.37037	-0.509917	-1.2188
-0.380005	-0.510993	-1.25169
-0.389615	-0.512111	-1.28453
-0.399199	-0.51327	-1.31734
-0.408759	-0.51447	-1.35012
-0.418296	-0.515711	-1.38286
-0.42781	-0.516994	-1.41557
-0.437302	-0.518317	-1.44826
-0.446772	-0.519681	-1.48091
-0.456222	-0.521086	-1.51354
-0.465652	-0.522531	-1.54614
-0.475062	-0.524017	-1.57872
-0.484455	-0.525543	-1.61128
-0.493829	-0.52711	-1.64382
-0.503187	-0.528717	-1.67634
-0.512528	-0.530364	-1.70884
-0.521853	-0.532052	-1.74132
-0.531164	-0.533779	-1.7738
-0.54046	-0.535547	-1.80625
-0.549743	-0.537354	-1.8387
-0.559013	-0.539201	-1.87114
-0.568271	-0.541089	-1.90357
-0.577517	-0.543015	-1.936
-0.586752	-0.544982	-1.96843
-0.595978	-0.546988	-2.00085
-0.605193	-0.549034	-2.03327
-0.6144	-0.551119	-2.0657
-0.623598	-0.553244	-2.09813
-0.632789	-0.555408	-2.13057
-0.641973	-0.557612	-2.16301
-0.651151	-0.559855	-2.19547
-0.660323	-0.562137	-2.22795
-0.66949	-0.564459	-2.26043
-0.678653	-0.56682	-2.29294
-0.687812	-0.56922	-2.32547
-0.696968	-0.571659	-2.35802
-0.706121	-0.574138	-2.3906
-0.715273	-0.576656	-2.42321
-0.724423	-0.579213	-2.45585
-0.733573	-0.581809	-2.48853
-0.742723	-0.584445	-2.52124
-0.751873	-0.587119	-2.554
-0.761024	-0.589833	-2.5868
-0.770178	-0.592586	-2.61964
-0.779333	-0.595378	-2.65254
-0.788492	-0.598209	-2.6855
-0.797654	-0.60108	-2.71851
-0.806821	-0.60399	-2.75159
-0.815992	-0.606939	-2.78473
-0.825169	-0.609927	-2.81794
-0.834351	-0.612955	-2.85123
-0.843541	-0.616022	-2.88459
-0.852737	-0.619128	-2.91804
-0.861941	-0.622274	-2.95157
-0.871153	-0.62546	-2.9852
-0.880375	-0.628685	-3.01892
-0.889605	-0.63195	-3.05275
-0.898846	-0.635254	-3.08668
-0.908097	-0.638599	-3.12073
-0.91736	-0.641983	-3.15489
-0.926634	-0.645407	-3.18918
-0.935921	-0.648871	-3.22359
-0.94522	-0.652376	-3.25814
-0.954533	-0.65592	-3.29284
-0.96386	-0.659505	-3.32768
-0.973202	-0.663131	-3.36267
-0.982559	-0.666797	-3.39783
-0.991931	-0.670504	-3.43315
-1.00188	-0.674252	-3.46865
-1.01462	-0.678044	-3.50433
-1.02736	-0.68188	-3.54021
-1.04011	-0.68576	-3.57628
-1.05286	-0.689686	-3.61256
-1.06562	-0.693656	-3.64906
-1.07838	-0.697672	-3.68578
-1.09115	-0.701733	-3.72274
-1.10393	-0.705839	-3.75995
-1.11671	-0.709992	-3.7974
-1.1295	-0.71419	-3.83513
-1.1423	-0.718435	-3.87313
-1.1551	-0.722726	-3.91142
-1.16792	-0.727064	-3.95
-1.18075	-0.731449	-3.9889
-1.19359	-0.735881	-4.02812
-1.20645	-0.740361	-4.06767
-1.21931	-0.744888	-4.10758
-1.23219	-0.749464	-4.14784
-1.24509	-0.754088	-4.18849
-1.25799	-0.758761	-4.22952
-1.27092	-0.763483	-4.27096
-1.28386	-0.768255	-4.31282
-1.29682	-0.773077	-4.35511
-1.30979	-0.777949	-4.39787
-1.32279	-0.782872	-4.44109
-1.3358	-0.787846	-4.4848
-1.34883	-0.792872	-4.52902
-1.36189	-0.797949	-4.57378
-1.37496	-0.80308	-4.61907
-1.38806	-0.808264	-4.66494
-1.40118	-0.813501	-4.71141
-1.41432	-0.818792	-4.75848
-1.42749	-0.824139	-4.8062
-1.44068	-0.829541	-4.85458
-1.4539	-0.834999	-4.90365
-1.46715	-0.840513	-4.95344
-1.48042	-0.846086	-5.00397
-1.49372	-0.851716	-5.05528
-1.50705	-0.857405	-5.10739
-1.52041	-0.863154	-5.16034
-1.5338	-0.868963	-5.21417
-1.54722	-0.874834	-5.2689
-1.56067	-0.880766	-5.32458
-1.57416	-0.886762	-5.38124
-1.58768	-0.892822	-5.43893
-1.60123	-0.898947	-5.49769
-1.61482	-0.905138	-5.55755
