# Chua Circuit,modelLeg,0g,100s,x is left untouched,JointVelocity=>y,z=>JointTorque friction 1 1 force 4 damping 0.05
0	0	2.2
0.00168774	0	2.19997
0.00503612	0.830502	2.19994
0.0212901	1.66351	2.17667
0.0504311	2.49916	2.13008
0.0924428	3.34416	2.06011
0.147413	4.20219	1.96649
0.215488	5.07721	1.84886
0.296871	5.97359	1.70674
0.391838	6.89615	1.53953
0.500734	7.85037	1.34651
0.62399	8.84245	1.12678
0.76213	9.87958	0.879295
0.91579	10.8535	0.602783
1.0867	11.608	0.299016
1.26914	12.0964	-0.0258638
1.45837	12.2693	-0.364411
1.64944	12.0768	-0.707795
1.83667	11.4733	-1.04579
2.01367	10.4775	-1.36689
2.17439	9.41293	-1.66012
2.31783	8.28255	-1.92356
2.44305	7.09118	-2.15536
2.54918	5.84519	-2.35382
2.63544	4.55232	-2.5174
2.70121	3.22149	-2.64481
2.74598	1.86252	-2.73496
2.76941	0.485935	-2.78709
2.77132	-0.880607	-2.80069
2.75196	-2.24285	-2.77604
2.71149	-3.58994	-2.71327
2.65025	-4.91128	-2.61281
2.56872	-6.1968	-2.47536
2.46756	-7.4372	-2.30194
2.34755	-8.62427	-2.0938
2.20961	-9.75113	-1.85245
2.05475	-10.8125	-1.57956
1.88407	-11.8047	-1.27697
1.69871	-12.7261	-0.94661
1.49985	-13.5185	-0.590468
1.28954	-13.8732	-0.212153
1.07466	-13.8149	0.176086
0.858854	-13.3803	0.56269
0.650216	-12.6123	0.937132
0.454458	-11.5544	1.29008
0.276031	-10.5034	1.61341
0.114749	-9.50795	1.90734
-0.0314424	-8.55931	2.1734
-0.167785	-7.64709	2.41291
-0.289329	-6.76839	2.62689
-0.39666	-5.91787	2.81627
-0.490281	-5.09091	2.98186
-0.570619	-4.28348	3.1243
-0.638038	-3.49197	3.24414
-0.692842	-2.71317	3.34183
-0.735286	-1.94414	3.41772
-0.765577	-1.18214	3.47209
-0.783877	-0.4246	3.50514
-0.790311	0.321826	3.51698
-0.785103	1.06868	3.50794
-0.7683	1.81835	3.47799
-0.739909	2.57327	3.42707
-0.699899	3.33597	3.35501
-0.648202	4.10917	3.26161
-0.584707	4.89576	3.14658
-0.509258	5.69895	3.00953
-0.421649	6.52228	2.85001
-0.321622	7.36975	2.66744
-0.208856	8.2459	2.46116
-0.0829622	9.15595	2.23036
0.0576436	10.1026	1.97409
0.217913	11.0961	1.69133
0.392923	12.1446	1.38077
0.583466	13.2578	1.04086
0.790476	14.4471	0.669808
1.01562	15.3965	0.265473
1.25732	16.0002	-0.165431
1.50733	16.1802	-0.613228
1.75903	15.8528	-1.06606
2.00451	15.0162	-1.50972
2.23588	14.0877	-1.92997
2.45177	13.0648	-2.32423
2.65079	11.9474	-2.68986
2.83154	10.7382	-3.02422
2.99267	9.44228	-3.32474
3.13292	8.06734	-3.58899
3.25116	6.62302	-3.81475
3.34639	5.12045	-4.00009
3.41783	3.57185	-4.14339
3.46485	1.99005	-4.24334
3.48706	0.38825	-4.29902
3.48425	-1.20072	-4.30987
3.45673	-2.783	-4.27626
3.40472	-4.34533	-4.19836
3.32863	-5.87445	-4.07674
3.22909	-7.3573	-3.91233
3.10693	-8.78135	-3.70642
2.96315	-10.1351	-3.46066
2.79896	-11.4084	-3.17701
2.61569	-12.5936	-2.85773
2.4148	-13.6852	-2.50528
2.19782	-14.6808	-2.12229
1.96632	-15.5805	-1.71143
1.72185	-16.3876	-1.2754
1.46592	-17.107	-0.816786
1.19993	-17.5513	-0.338041
0.927665	-17.4592	0.153138
0.655262	-16.895	0.641735
0.392851	-15.9263	1.11454
0.14668	-14.7178	1.56023
-0.0807065	-13.5972	1.9721
-0.295209	-12.5475	2.3526
-0.492425	-11.5604	2.70373
-0.673405	-10.6263	3.02723
-0.839046	-9.73726	3.32458
-0.990117	-8.88654	3.59705
-1.13006	-8.06849	3.84571
-1.25721	-7.27831	4.07148
-1.3715	-6.51185	4.27513
-1.47336	-5.76554	4.45733
-1.56315	-5.03629	4.61864
-1.6412	-4.32133	4.75955
-1.70778	-3.61824	4.88044
-1.76312	-2.92483	4.98165
-1.80742	-2.23911	5.06346
-1.84087	-1.55924	5.12608
-1.86358	-0.883492	5.16967
-1.87568	-0.210226	5.19435
-1.87725	0.454021	5.20019
-1.86848	1.11893	5.18744
-1.84941	1.78606	5.15607
-1.82004	2.457	5.10604
-1.78037	3.13341	5.03724
-1.73035	3.81705	4.9495
-1.66991	4.50982	4.84263
-1.59897	5.2138	4.71637
-1.51739	5.93129	4.57042
-1.42501	6.66486	4.40438
-1.32164	7.4174	4.21782
-1.20701	8.19222	4.01019
-1.08085	8.99309	3.78089
-0.942223	9.8244	3.52917
-0.788505	10.6912	3.25419
-0.621986	11.5995	2.95495
-0.442079	12.5563	2.63029
-0.248089	13.5699	2.27886
-0.039195	14.6468	1.89907
0.191088	15.8018	1.48914
0.439425	17.049	1.04689
0.706058	18.4052	0.569734
0.992601	19.4518	0.0546292
1.29693	20.0449	-0.489763
1.60969	20.0642	-1.05075
1.92136	19.4386	-1.61228
2.2219	18.7049	-2.15629
2.50968	17.8519	-2.67976
2.78292	16.8716	-3.17936
3.03968	15.7597	-3.65152
3.278	14.517	-4.09257
3.49593	13.1491	-4.49882
3.6916	11.6663	-4.8668
3.86333	10.0825	-5.19327
4.00966	8.41367	-5.47542
4.12937	6.67658	-5.71087
4.22152	4.88748	-5.8977
4.28543	3.06141	-6.03445
4.32065	1.21204	-6.12011
4.32693	-0.625612	-6.154
4.3046	-2.46221	-6.13647
